# time cosTheta cosPsi phi tag mistag
0.913053 0.695625 -0.270384 0.334542 1 0
0.543415 0.779488 0.959328 1.71071 1 0
1.81752 0.0179434 -0.698858 -1.11121 -1 0
3.11531 0.859771 0.187153 0.467967 1 0
0.576391 -0.686181 -0.279858 2.71086 -1 0
2.79013 -0.443419 -0.527532 -1.73626 1 0
0.979757 -0.127985 -0.566724 -2.93136 1 0
0.796411 -0.961803 0.899464 2.51474 -1 0
0.550994 0.22626 -0.783029 0.77988 1 0
2.61355 0.111676 -0.488715 0.415197 1 0
2.11241 -0.254202 0.904963 -0.57605 1 0
3.59775 -0.682754 0.984446 -1.75256 -1 0
0.0215723 -0.129748 -0.539496 -2.11332 1 0
4.67364 -0.68983 -0.937252 2.24564 -1 0
0.554313 0.223558 0.896896 -1.51695 1 0
0.620413 -0.710808 0.876832 0.789269 -1 0
2.03518 0.950139 0.532911 2.01236 1 0
1.13487 0.168968 -0.853279 0.250661 1 0
1.08004 -0.8046 -0.547036 1.03241 -1 0
0.357315 0.013807 -0.992974 2.01853 -1 0
0.879751 0.449695 -0.633242 2.9129 1 0
0.909986 -0.838015 -0.918348 -2.03084 1 0
2.09796 0.46116 -0.834916 -1.08228 -1 0
0.385305 -0.901971 0.780432 0.767638 -1 0
0.750126 -0.962087 -0.974993 0.0173305 -1 0
0.767154 0.355793 -0.967794 1.2935 -1 0
0.974592 0.958776 -0.756206 1.71039 1 0
0.0255416 -0.889075 -0.881918 -2.59436 1 0
0.3101 -0.0429731 -0.444037 0.30511 -1 0
3.12796 0.394966 0.99584 -1.17946 -1 0
1.90663 0.201684 -0.867026 -1.19892 1 0
0.479512 -0.919666 0.364677 -1.58616 -1 0
2.39552 -0.422432 0.418431 -0.167498 -1 0
3.4541 0.104826 0.268192 1.41914 1 0
1.4892 0.630206 -0.715484 0.261624 1 0
0.192478 0.546065 0.968518 -1.08624 1 0
2.07804 0.743407 -0.739493 0.196785 1 0
1.73022 -0.776682 0.737521 -1.79485 -1 0
0.872792 0.513958 0.57199 -1.82819 -1 0
0.842255 0.435399 -0.264058 -2.58103 -1 0
1.55734 -0.753584 0.604641 -2.20241 -1 0
2.51559 -0.199849 -0.126055 2.18407 -1 0
0.176151 0.201765 -0.52478 -2.31057 1 0
3.63769 -0.90086 -0.852921 2.65815 -1 0
0.625742 -0.3613 0.102151 -0.898831 -1 0
2.1458 -0.893218 -0.00025767 2.86901 -1 0
2.20076 -0.0808999 -0.939849 -0.701273 -1 0
0.0396193 0.202452 -0.782435 1.18829 1 0
0.0134509 -0.603159 -0.919424 0.957198 1 0
0.232 0.736114 0.840627 -3.04847 -1 0
1.10104 0.556462 -0.713948 -2.04292 1 0
1.94672 0.5693 -0.77228 -1.14419 1 0
1.81469 -0.774647 -0.125433 -0.103446 -1 0
0.42024 0.0338408 0.722086 1.35475 -1 0
3.71217 0.359975 -0.896033 0.582675 -1 0
0.734915 -0.568852 0.775206 2.7911 -1 0
2.08339 -0.247602 -0.45619 0.450375 1 0
0.149963 0.854875 0.19582 -0.294078 1 0
1.57044 0.453537 -0.887668 -2.03607 -1 0
0.224377 0.970803 0.66053 2.25815 -1 0
0.114916 0.855593 0.618966 1.02015 -1 0
0.984839 -0.88437 0.861085 -0.169781 1 0
1.18699 -0.928616 -0.647213 -2.13238 -1 0
1.97532 -0.814478 -0.814962 -2.28271 -1 0
4.04816 0.860269 -0.987506 2.65029 -1 0
9.65779 0.759771 -0.705894 2.05013 -1 0
0.738259 -0.289333 -0.227076 -0.368739 -1 0
0.0597489 0.265556 -0.495518 -0.311166 1 0
0.211081 -0.728513 -0.966407 -2.72077 -1 0
4.33315 0.511335 0.83079 -0.258181 -1 0
0.84367 0.489645 -0.900172 1.95028 1 0
0.386918 -0.548573 0.0198546 -2.63753 1 0
0.62082 0.757658 -0.995555 1.28149 1 0
0.609924 0.629221 -0.93559 -0.00389419 -1 0
0.640056 0.769627 0.811414 -0.699436 1 0
0.531419 0.742427 -0.648829 2.81801 -1 0
1.62519 0.872332 0.352299 -0.990255 -1 0
2.87261 0.260577 -0.909793 -2.84024 -1 0
0.457512 0.195629 0.548551 -2.69388 -1 0
1.9936 0.784166 0.700223 0.952292 -1 0
1.42886 -0.648499 0.762136 -0.940795 1 0
0.391588 0.148744 -0.865083 1.19311 -1 0
0.667887 0.266941 0.995286 0.478269 -1 0
0.333178 -0.870432 -0.888276 2.1982 -1 0
4.31662 0.805078 0.96826 -3.0127 -1 0
0.321573 -0.609959 0.656406 -1.23066 1 0
3.0154 -0.184634 0.012085 -1.53015 1 0
0.538238 0.659531 -0.150278 -1.15078 -1 0
2.25955 -0.706618 0.94826 -2.68714 1 0
0.83447 0.437882 -0.673707 -1.43731 -1 0
0.0737084 -0.101852 0.999983 -1.78852 -1 0
0.357575 -0.0881391 0.915692 1.71975 -1 0
1.64784 -0.304409 0.723661 2.83058 1 0
1.79151 0.44944 -0.858804 1.72808 1 0
0.231512 0.899816 -0.408025 -0.504779 -1 0
1.60705 0.33334 -0.999371 2.91412 1 0
0.266287 -0.976237 0.502967 1.42816 1 0
2.17639 0.595686 -0.736986 -2.22242 -1 0
1.37913 -0.298016 0.493447 -1.03404 1 0
0.146171 0.261677 -0.703139 -1.46683 1 0
1.6633 -0.0477659 -0.0148943 -2.90367 1 0
2.44767 -0.330901 0.990843 2.16203 1 0
0.363048 -0.0747656 -0.820401 -1.4191 1 0
0.696528 0.834371 -0.696331 -1.17 -1 0
1.45379 -0.182266 0.989762 0.877241 1 0
2.69512 -0.757812 0.962329 2.829 1 0
0.191831 -0.435421 -0.590415 -2.1474 1 0
0.583015 0.0260732 0.0226422 2.57718 1 0
1.93538 0.0597183 -0.209647 -2.21399 1 0
0.423187 -0.267052 -0.532571 1.26148 1 0
0.542196 -0.507138 -0.530563 -1.06483 1 0
0.393422 0.826063 -0.975859 -2.26624 1 0
0.414463 -0.536671 -0.896364 -0.678253 1 0
1.0732 0.764909 0.812752 1.79987 1 0
1.37438 0.269657 0.645985 -0.654716 1 0
2.25743 -0.781852 -0.980209 -1.15754 -1 0
1.09406 0.14957 -0.530403 1.58875 -1 0
0.778557 -0.727974 -0.902571 -2.98551 1 0
2.37771 0.825937 -0.337895 0.259873 -1 0
3.13793 0.513913 0.427581 -1.32771 1 0
2.83922 0.616981 0.699116 -0.914275 -1 0
1.28026 0.547358 0.529358 0.380122 1 0
1.88862 -0.0346794 -0.0427277 0.186701 -1 0
1.73395 0.265246 0.269109 -1.03471 -1 0
0.339175 -0.360615 0.87934 1.35705 1 0
2.96421 -0.911705 0.873714 1.96715 1 0
0.108633 0.492816 0.985416 -0.885632 1 0
0.188942 -0.849263 0.229413 1.43494 1 0
6.37064 0.573167 0.45833 -1.98879 1 0
2.52962 -0.550105 0.769971 2.75249 -1 0
2.33028 -0.719987 0.0893959 -2.91506 1 0
0.379085 0.644292 -0.161323 -2.05541 1 0
0.638531 -0.0121729 0.583587 -1.9766 -1 0
0.727032 -0.403678 -0.993612 -1.47597 -1 0
1.07039 -0.892338 0.100479 1.98876 -1 0
1.88783 0.010653 0.318516 -0.876358 1 0
2.30631 -0.131865 -0.591734 -0.390409 1 0
0.677884 0.603368 0.120502 0.161279 1 0
2.15529 -0.528677 -0.812594 1.5413 -1 0
1.84609 0.0174198 -0.96806 -1.73679 1 0
0.523899 -0.273169 -0.871561 0.745289 1 0
1.67857 0.898679 -0.828453 -0.636006 1 0
1.56664 0.202633 0.431072 -1.54751 1 0
1.94708 -0.491185 0.860947 -0.956748 1 0
0.0183699 -0.868057 -0.438189 -0.945151 -1 0
0.357663 -0.0998739 -0.195371 -2.53418 1 0
1.33579 -0.105697 0.667599 -1.49221 1 0
0.822359 0.697096 -0.507251 -1.88548 -1 0
0.610257 0.836035 -0.723985 2.41502 -1 0
1.1031 -0.251656 0.0987158 3.04226 -1 0
1.44981 0.46619 0.513813 -1.21787 -1 0
2.40357 -0.692899 0.69778 1.90446 1 0
2.37927 -0.101511 -0.557873 -2.19546 1 0
4.03421 -0.865401 0.892658 1.40117 1 0
1.53086 0.402381 0.0407557 3.11183 -1 0
0.335125 0.393428 0.883871 -1.04221 -1 0
0.343753 0.666212 -0.0736399 1.63018 -1 0
0.0884622 -0.62913 0.231922 1.54939 1 0
3.02277 0.892853 0.585073 -0.835039 1 0
0.0977462 0.654908 0.605624 1.80587 -1 0
4.11956 -0.360226 0.760666 -2.66225 1 0
3.56111 -0.727251 -0.31129 -0.770465 1 0
1.09921 0.0505621 0.159621 -2.93361 1 0
0.0753369 0.723172 -0.97184 2.26436 1 0
1.95923 0.712638 0.836778 1.57067 1 0
0.989608 0.86148 0.912009 2.60626 1 0
2.04072 0.306942 -0.0572102 -2.69179 -1 0
0.497645 -0.753622 -0.979489 0.237672 1 0
2.08786 -0.881878 -0.721629 -2.57557 -1 0
2.16293 0.849691 0.861002 -2.32924 1 0
4.4155 -0.761961 -0.402722 1.98932 -1 0
2.9201 0.664312 0.0216508 -0.398587 1 0
4.22894 -0.135911 0.155669 -2.62432 -1 0
0.212921 0.894877 0.710792 -2.96406 -1 0
1.32731 0.60766 0.430404 -0.306475 -1 0
0.0762544 -0.82403 0.629575 1.19212 -1 0
5.65684 -0.968941 0.988521 0.562133 1 0
4.24418 -0.150816 -0.781493 2.30869 -1 0
0.762705 -0.769679 -0.0274025 0.176285 1 0
1.7295 0.844671 -0.0548904 0.234525 1 0
2.17038 -0.751386 0.791849 -2.7999 -1 0
1.61927 -0.146407 -0.246833 -0.0964718 1 0
0.899228 0.756558 0.877047 1.34432 -1 0
1.56825 0.0398089 -0.49925 1.81557 -1 0
1.50954 0.420854 -0.727527 1.02415 -1 0
0.921361 -0.826881 -0.643163 2.30188 1 0
0.799394 0.430612 0.820281 1.80165 1 0
1.04893 -0.00225709 -0.724989 -1.03126 -1 0
3.24791 0.923481 -0.777294 -1.21658 -1 0
1.59159 -0.443702 0.0579749 -3.02086 1 0
2.4352 0.701941 -0.444404 0.418945 1 0
0.959603 0.737427 -0.25465 -1.51839 1 0
0.285851 0.892381 -0.892047 -2.96448 1 0
0.362059 0.255418 -0.215509 3.11382 -1 0
4.46851 -0.0546987 0.248471 -0.735418 1 0
1.44106 0.120244 0.0938433 -1.7724 -1 0
0.366079 -0.778673 -0.661348 2.08145 -1 0
3.24306 0.755444 0.00404822 -0.525571 1 0
1.81756 -0.325158 0.216606 0.847812 1 0
0.809378 0.168289 0.667458 1.27375 1 0
1.14177 -0.146173 0.237917 -0.522786 1 0
1.22255 0.830086 0.830639 -1.19393 1 0
0.115687 -0.166232 -0.659965 1.30207 1 0
1.16222 -0.905571 -0.863456 3.12695 1 0
0.381165 -0.342782 0.641922 2.13144 1 0
1.42033 -0.304621 0.616898 -1.2755 1 0
2.46398 -0.0618476 0.492219 -3.1202 1 0
0.315375 -0.561869 0.926005 -1.90446 1 0
4.09943 -0.38044 0.50381 1.32929 -1 0
0.903547 -0.533183 -0.435559 1.38069 1 0
1.02331 0.49473 0.423162 -1.58097 -1 0
1.64986 -0.6468 0.991687 0.80159 1 0
1.01224 -0.35661 0.218878 -0.0186455 -1 0
0.518646 -0.118114 0.996885 1.09974 1 0
0.41779 0.337701 -0.654468 -1.23709 1 0
1.40659 -0.186423 -0.907642 2.04114 1 0
6.14521 0.62411 -0.745368 -0.972541 -1 0
2.1331 0.412428 -0.591999 0.522589 1 0
